id,Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
28,7/11/2023,VENMO            DES:PAYMENT    ID:XXXXX11499066             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX11499066             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,65,debit,Transfer,Adv Plus Banking - 6710,,
29,7/11/2023,PAYPAL *APPLE.COM/BIXXXXXX2273 CA,PAYPAL *APPLE.COM/BIXXXXXX2273 CA,0.99,debit,Electronics & Software,American Express Gold Card,,
30,7/11/2023,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,6,debit,Gym,PREMIER PLUS CKG,,
31,7/11/2023,VENMO PAYMENT XXXXXXXXXXXXX WEB ID: XXXXXX1992,VENMO PAYMENT XXXXXXXXXXXXX WEB ID: XXXXXX1992,225,debit,Transfer,PREMIER PLUS CKG,,
32,7/11/2023,PARKMOBILE,PARKMOBILE,0.89,debit,Parking,CREDIT CARD,,
33,7/11/2023,PARKMOBILE,PARKMOBILE,3.95,debit,Parking,CREDIT CARD,,
34,7/11/2023,CHIPOTLE 0245,CHIPOTLE 0245,10.21,debit,Fast Food,CREDIT CARD,,
35,7/11/2023,VHC ARLINGTON HEALTH SYST,VHC ARLINGTON HEALTH SYST,7,debit,Parking,CREDIT CARD,,
36,7/11/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",3.34,debit,Transfer,SARAH IRA,,
37,7/11/2023,Rollover DepositROLLOVER DEPOSIT,Rollover DepositROLLOVER DEPOSIT,3.95,credit,Transfer,SARAH IRA,,
38,7/11/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",3.37,debit,Transfer,SARAH ROTH,,
39,7/10/2023,CHASE CREDIT CRD DES:EPAY       ID:XXXXX78661                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,CHASE CREDIT CRD DES:EPAY       ID:XXXXX78661                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,1200,debit,Credit Card Payment,Adv Plus Banking - 6710,,
40,7/10/2023,VENMO            DES:CASHOUT    ID:XXXXX72115793             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,VENMO            DES:CASHOUT    ID:XXXXX72115793             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,200,credit,Transfer,Adv Plus Banking - 6710,,
41,7/10/2023,Payment to Chase card ending in XXXX 07/10,Payment to Chase card ending in XXXX 07/10,900,debit,Credit Card Payment,PREMIER PLUS CKG,,
42,7/10/2023,PARKMOBILE,PARKMOBILE,1.91,debit,Parking,CREDIT CARD,,
43,7/10/2023,Advisory Program FeeMUTUAL FUND REBATE,Advisory Program FeeMUTUAL FUND REBATE,3.34,credit,Investments,SARAH IRA,,
44,7/10/2023,Advisory Program FeeMUTUAL FUND REBATE,Advisory Program FeeMUTUAL FUND REBATE,3.37,credit,Investments,SARAH ROTH,,
45,7/9/2023,MISHA'S COFFEE 0000 ALEXANDRIA VA,MISHA'S COFFEE 0000 ALEXANDRIA VA,4.83,debit,Coffee Shops,American Express Gold Card,,
46,7/9/2023,THE LUCKY KNOT MENS ALEXANDRIA VA,THE LUCKY KNOT MENS ALEXANDRIA VA,238.5,debit,Groceries,American Express Gold Card,,
47,7/9/2023,TST* Sonoma Cellar,TST* Sonoma Cellar,264.24,debit,Restaurants,CREDIT CARD,,
48,7/9/2023,PARKMOBILE,PARKMOBILE,3.87,debit,Parking,CREDIT CARD,,
49,7/7/2023,C43710 WEST BROA DES:DIR DEP    ID:56522C186359A6            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,C43710 WEST BROA DES:DIR DEP    ID:56522C186359A6            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,2468.68,credit,Paycheck,Adv Plus Banking - 6710,,
50,7/7/2023,ONLINE PAYMENT - THANK YOU,ONLINE PAYMENT - THANK YOU,256.96,credit,Income,American Express Gold Card,,
51,7/7/2023,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,AMERICAN EXPRESS ACH PMT WXXXX WEB ID: XXXXXX2111,256.96,debit,Credit Card Payment,PREMIER PLUS CKG,,
52,7/7/2023,Payment to Chase card ending in XXXX 07/07,Payment to Chase card ending in XXXX 07/07,585.69,debit,Credit Card Payment,PREMIER PLUS CKG,,
53,7/7/2023,Payment Thank You - Web,Payment Thank You - Web,585.69,credit,Credit Card Payment,CREDIT CARD,,
54,7/6/2023,Yarmouth Managem SIGONFILE PPD ID: XXXXXX5066,Yarmouth Managem SIGONFILE PPD ID: XXXXXX5066,2712.52,credit,Income,PREMIER PLUS CKG,,
55,7/6/2023,"WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...","WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...",16.14,credit,Investments,SARAH IRA,,
56,7/6/2023,"WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...","WithdrawalBANK OF AMERICA, NA RASP FRAC SELL ...",16.85,credit,Investments,SARAH ROTH,,
57,7/6/2023,DepositML DIRECT DEPOSIT PROGRM,DepositML DIRECT DEPOSIT PROGRM,30,debit,Transfer,CMA-Edge XXZ-X7892,,
58,7/5/2023,COMCAST 8299610  DES:XXXXX6560  ID:3650180                   INDN:SARAH *REMMEY           CO ID:XXXXX13249 PPD,COMCAST 8299610  DES:XXXXX6560  ID:3650180                   INDN:SARAH *REMMEY           CO ID:XXXXX13249 PPD,25,debit,Television,Adv Plus Banking - 6710,,
59,7/5/2023,VENMO            DES:CASHOUT    ID:XXXXX80109580             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,VENMO            DES:CASHOUT    ID:XXXXX80109580             INDN:SARAH SOSCIA            CO ID:XXXXX81992 PPD,36,credit,Transfer,Adv Plus Banking - 6710,,
60,7/5/2023,HARRIS TEETER ALEXANDRIA VA,HARRIS TEETER ALEXANDRIA VA,40.81,debit,Groceries,American Express Gold Card,,
61,7/5/2023,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,79.99,debit,Gym,PREMIER PLUS CKG,,
62,7/5/2023,Payment to Chase card ending in XXXX 07/05,Payment to Chase card ending in XXXX 07/05,35,debit,Credit Card Payment,PREMIER PLUS CKG,,
63,7/5/2023,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,US FITNESSCRXXXX EFT PPD ID: XXXXXX4319,6,debit,Gym,PREMIER PLUS CKG,,
64,7/5/2023,SQ *THE ITALIAN PLACE,SQ *THE ITALIAN PLACE,29.16,debit,Restaurants,CREDIT CARD,,
65,7/5/2023,SPOTHERO XXX-XXX-8054,SPOTHERO XXX-XXX-8054,13.72,debit,Parking,CREDIT CARD,,
66,7/5/2023,Advisory Program FeeINV. ADVISORY FEE JUL,Advisory Program FeeINV. ADVISORY FEE JUL,16.14,debit,Investments,SARAH IRA,,
67,7/5/2023,Advisory Program FeeINV. ADVISORY FEE JUL,Advisory Program FeeINV. ADVISORY FEE JUL,16.85,debit,Investments,SARAH ROTH,,
68,7/5/2023,DividendVANGUARD 500 INDEX FUND SHS ETF HOL...,DividendVANGUARD 500 INDEX FUND SHS ETF HOL...,29.95,credit,Investments,CMA-Edge XXZ-X7892,,
69,7/5/2023,JOURNALED SPP PURCHASE CREDIT (Cash),JOURNALED SPP PURCHASE CREDIT (Cash),7255.26,credit,Buy,Individual,,
70,7/5/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep in,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep in,183.73,debit,Investments,Mark H. Remmey Jr. Brokerage Account,,
71,7/5/2023,VANGUARD S&P 500 INDEX ETF - Dividend,VANGUARD S&P 500 INDEX ETF - Dividend,183.73,credit,Investments,Mark H. Remmey Jr. Brokerage Account,,
72,7/4/2023,THE ITALIAN PLACE Alexandria VA,THE ITALIAN PLACE Alexandria VA,4.32,debit,Restaurants,American Express Gold Card,,
73,7/4/2023,YATES CAR WASH & DETAIL C,YATES CAR WASH & DETAIL C,30,debit,Auto & Transport,CREDIT CARD,,
74,7/4/2023,Payment Thank You - Web,Payment Thank You - Web,35,credit,Credit Card Payment,CREDIT CARD,,
75,7/3/2023,PL*PromaxManagem DES:WEB PMTS   ID:HJBK65                    INDN:Sarah                   CO ID:XXXXX88010 WEB,PL*PromaxManagem DES:WEB PMTS   ID:HJBK65                    INDN:Sarah                   CO ID:XXXXX88010 WEB,1300,debit,Mortgage & Rent,Adv Plus Banking - 6710,,
76,7/3/2023,PL*PAYLEASE      DES:WEB PMTS   ID:0S8K65                    INDN:Sarah                   CO ID:XXXXX87225 WEB,PL*PAYLEASE      DES:WEB PMTS   ID:0S8K65                    INDN:Sarah                   CO ID:XXXXX87225 WEB,2.95,debit,Utilities,Adv Plus Banking - 6710,,
77,7/3/2023,PL*PromaxManagem WEB PMTS FJBKXX WEB ID: XXXXXX8010,PL*PromaxManagem WEB PMTS FJBKXX WEB ID: XXXXXX8010,1950,debit,Mortgage & Rent,PREMIER PLUS CKG,,
78,7/3/2023,USAA FSB ICPAYMENT PPD ID: XXXXXX9165,USAA FSB ICPAYMENT PPD ID: XXXXXX9165,336.42,debit,Auto Payment,PREMIER PLUS CKG,,
79,7/3/2023,PL*PAYLEASE WEB PMTS YRXKXX WEB ID: XXXXXX7225,PL*PAYLEASE WEB PMTS YRXKXX WEB ID: XXXXXX7225,2.95,debit,Mortgage & Rent,PREMIER PLUS CKG,,
80,7/3/2023,Amazon web services,Amazon web services,0.24,debit,Electronics & Software,CREDIT CARD,,
81,7/3/2023,PAYPAL *SPOTIFYUSAI,PAYPAL *SPOTIFYUSAI,9.99,debit,Music,CREDIT CARD,,
82,7/3/2023,BLACKWALL HITCH ALEXAN,BLACKWALL HITCH ALEXAN,150.89,debit,Restaurants,CREDIT CARD,,
83,7/3/2023,YOU BOUGHT ESPP### AS OF 06-30-23 MICROSOFT CORP (MSFT) (Cash),YOU BOUGHT ESPP### AS OF 06-30-23 MICROSOFT CORP (MSFT) (Cash),7255.26,debit,Investments,Individual,,
84,7/2/2023,GOOGLE *YouTubePremium,GOOGLE *YouTubePremium,12.71,debit,Television,CREDIT CARD,,
85,7/2/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,16.04,debit,Restaurants,CREDIT CARD,,
86,7/2/2023,Audible*EQ7LV1V63,Audible*EQ7LV1V63,15.85,debit,Books,CREDIT CARD,,
87,7/2/2023,TST* JOSEPHINE,TST* JOSEPHINE,92.14,debit,Restaurants,CREDIT CARD,,
88,7/1/2023,UBER EATS SAN FRANSISCO CA,UBER EATS SAN FRANSISCO CA,29.59,debit,Food Delivery,American Express Gold Card,,
89,7/1/2023,INTEREST,INTEREST,32.85,credit,Loan Interest,My Auto Loan,,
90,7/1/2023,PRINCIPAL,PRINCIPAL,303.57,credit,Loan Principal,My Auto Loan,,
91,6/30/2023,Online Banking transfer from BRK 7892                       Confirmation# XXXXX69222,Online Banking transfer from BRK 7892                       Confirmation# XXXXX69222,100,credit,Transfer,Adv Plus Banking - 6710,,
92,6/30/2023,WHOLEFDS OTN XX185 0ALEXANDRIA VA,WHOLEFDS OTN XX185 0ALEXANDRIA VA,30.85,debit,Groceries,American Express Gold Card,,
93,6/30/2023,VENMO PAYMENT XXXXXXXXXXXXX WEB ID: XXXXXX1992,VENMO PAYMENT XXXXXXXXXXXXX WEB ID: XXXXXX1992,70,debit,Transfer,PREMIER PLUS CKG,,
94,6/30/2023,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,MICROSOFT EDIPAYMENT PPD ID: XXXXXX4442,1652.25,credit,Paycheck,PREMIER PLUS CKG,,
95,6/30/2023,"InterestBANK OF AMERICA, NA RASP 0.41000 DI...","InterestBANK OF AMERICA, NA RASP 0.41000 DI...",0,credit,Investments,SARAH IRA,,
96,6/30/2023,"InterestBANK OF AMERICA, NA RASP 0.29000 DI...","InterestBANK OF AMERICA, NA RASP 0.29000 DI...",0,credit,Investments,SARAH ROTH,,
97,6/30/2023,WithdrawalML DIRECT DEPOSIT PROGRM,WithdrawalML DIRECT DEPOSIT PROGRM,100,credit,Transfer,CMA-Edge XXZ-X7892,,
98,6/30/2023,WithdrawalTO BAC#229042906710 SARAH C SOSCIA,WithdrawalTO BAC#229042906710 SARAH C SOSCIA,100,debit,Investments,CMA-Edge XXZ-X7892,,
99,6/30/2023,REINVESTMENT CASH (315994103) (Cash),REINVESTMENT CASH (315994103) (Cash),5.77,debit,Investments,Individual,,
100,6/30/2023,INTEREST EARNED CASH (315994103) (Cash),INTEREST EARNED CASH (315994103) (Cash),5.77,credit,Investments,Individual,,
101,6/30/2023,DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),11.17,credit,Dividend & Cap Gains,Health Savings Account,,
102,6/30/2023,PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),PARTIC CONTR CURRENT PARTICIPANT CUR YR (Cash),180.3,credit,Investments,Health Savings Account,,
103,6/30/2023,REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash),11.17,debit,Investments,Health Savings Account,,
104,6/30/2023,VANG RUS 1000 GR TR,VANG RUS 1000 GR TR,0,credit,Investments,MICROSOFT 401K PLAN,,
105,6/30/2023,VANG RUS 1000 GR TR,VANG RUS 1000 GR TR,3683.34,credit,Investments,MICROSOFT 401K PLAN,,
106,6/30/2023,VANG RUS 1000 VAL TR,VANG RUS 1000 VAL TR,0,credit,Investments,MICROSOFT 401K PLAN,,
107,6/30/2023,VANG RUS 1000 VAL TR,VANG RUS 1000 VAL TR,920.83,credit,Investments,MICROSOFT 401K PLAN,,
108,6/30/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Reinvestment,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Reinvestment,24.89,debit,Investments,Mark H. Remmey Jr. Brokerage Account,,
109,6/30/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Dividend,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Dividend,24.89,credit,Dividend & Cap Gains,Mark H. Remmey Jr. Brokerage Account,,
110,6/30/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Reinvestment,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Reinvestment,17.81,debit,Investments,Mark H. Remmey Jr. Roth IRA Brokerage Account,,
111,6/30/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Dividend,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Dividend,17.81,credit,Dividend & Cap Gains,Mark H. Remmey Jr. Roth IRA Brokerage Account,,
112,6/29/2023,VENMO            DES:PAYMENT    ID:XXXXX78486028             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX78486028             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,119.92,debit,Transfer,Adv Plus Banking - 6710,,
113,6/29/2023,WASHINGTON GAS   DES:PAYMENT    ID:XXXXX2788814              INDN:SARAH SOSCIA            CO ID:XXXXX62882 CCD,WASHINGTON GAS   DES:PAYMENT    ID:XXXXX2788814              INDN:SARAH SOSCIA            CO ID:XXXXX62882 CCD,36.7,debit,Utilities,Adv Plus Banking - 6710,,
114,6/29/2023,MICROSOFT XXXXXXXXXX XXXXXXXXXXXXXX CTX ID: XXXXXX3246,MICROSOFT XXXXXXXXXX XXXXXXXXXXXXXX CTX ID: XXXXXX3246,150,credit,Income,PREMIER PLUS CKG,,
115,6/29/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",4.41,debit,Transfer,SARAH IRA,,
116,6/29/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",4.67,debit,Transfer,SARAH ROTH,,
117,6/29/2023,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep out,VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep out,4012.65,credit,Investments,Mark H. Remmey Jr. Brokerage Account,,
118,6/28/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,14.94,debit,Restaurants,CREDIT CARD,,
119,6/28/2023,X0006 CAVA CHINATOWN,X0006 CAVA CHINATOWN,12.27,debit,Restaurants,CREDIT CARD,,
120,6/28/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,9.24,debit,Restaurants,CREDIT CARD,,
121,6/28/2023,TST* WEST WING CAFE,TST* WEST WING CAFE,9.79,debit,Restaurants,CREDIT CARD,,
122,6/28/2023,DividendVANGUARD RUSSELL 1000 ET GROWTH HOL...,DividendVANGUARD RUSSELL 1000 ET GROWTH HOL...,4.41,credit,Investments,SARAH IRA,,
123,6/28/2023,DividendVANGUARD RUSSELL 1000 ET GROWTH HOL...,DividendVANGUARD RUSSELL 1000 ET GROWTH HOL...,4.67,credit,Investments,SARAH ROTH,,
124,6/27/2023,VENMO            DES:PAYMENT    ID:XXXXX36126068             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX36126068             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,9,debit,Transfer,Adv Plus Banking - 6710,,
125,6/27/2023,VENMO            DES:PAYMENT    ID:XXXXX39751125             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,VENMO            DES:PAYMENT    ID:XXXXX39751125             INDN:SARAH SOSCIA            CO ID:XXXXX81992 WEB,25,debit,Transfer,Adv Plus Banking - 6710,,
126,6/27/2023,UBER THEITALIANPL SAN FRANSISCO CA,UBER THEITALIANPL SAN FRANSISCO CA,6.38,debit,Ride Share,American Express Gold Card,,
127,6/27/2023,UBER THEITALIANPL SAN FRANSISCO CA,UBER THEITALIANPL SAN FRANSISCO CA,28.37,debit,Clothing,American Express Gold Card,,
128,6/27/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",12.27,debit,Transfer,SARAH IRA,,
129,6/27/2023,"DepositBANK OF AMERICA, NA RASP FRAC BUY ....","DepositBANK OF AMERICA, NA RASP FRAC BUY ....",12.88,debit,Transfer,SARAH ROTH,,
130,6/27/2023,WithdrawalML DIRECT DEPOSIT PROGRM,WithdrawalML DIRECT DEPOSIT PROGRM,799,credit,Transfer,CMA-Edge XXZ-X7892,,
131,6/27/2023,Purchase {tc}VANGUARD 500 INDEX FUND SHS ETF CLI...,Purchase {tc}VANGUARD 500 INDEX FUND SHS ETF CLI...,798.6,debit,Investments,CMA-Edge XXZ-X7892,,
132,6/27/2023,VANGUARD S&P 500 INDEX ETF - Buy,VANGUARD S&P 500 INDEX ETF - Buy,4012.65,debit,Investments,Mark H. Remmey Jr. Brokerage Account,,
133,6/26/2023,CHASE CREDIT CRD DES:EPAY       ID:XXXXX04187                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,CHASE CREDIT CRD DES:EPAY       ID:XXXXX04187                INDN:SARAH REMMEY            CO ID:XXXXX39224 WEB,3271,debit,Credit Card Payment,Adv Plus Banking - 6710,,
134,6/26/2023,C43710 WEST BROA DES:DIR DEP    ID:261B9E7091027D            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,C43710 WEST BROA DES:DIR DEP    ID:261B9E7091027D            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,87.94,credit,Paycheck,Adv Plus Banking - 6710,,
135,6/26/2023,DividendSCHWAB US SMALL-CAP ETF HOLDING 13....,DividendSCHWAB US SMALL-CAP ETF HOLDING 13....,1.95,credit,Investments,SARAH IRA,,
136,6/26/2023,DividendMFS VALUE FD CL I PAY DATE 06/23/20...,DividendMFS VALUE FD CL I PAY DATE 06/23/20...,10.32,credit,Investments,SARAH IRA,,
137,6/26/2023,DividendMFS VALUE FD CL I PAY DATE 06/23/20...,DividendMFS VALUE FD CL I PAY DATE 06/23/20...,10.93,credit,Investments,SARAH ROTH,,
138,6/26/2023,DividendSCHWAB US SMALL-CAP ETF HOLDING 13....,DividendSCHWAB US SMALL-CAP ETF HOLDING 13....,1.95,credit,Investments,SARAH ROTH,,
139,6/26/2023,DepositML DIRECT DEPOSIT PROGRM,DepositML DIRECT DEPOSIT PROGRM,800,debit,Transfer,CMA-Edge XXZ-X7892,,
140,6/25/2023,WHOLEFDS OTN XX185 0ALEXANDRIA VA,WHOLEFDS OTN XX185 0ALEXANDRIA VA,52.62,debit,Groceries,American Express Gold Card,,
141,6/24/2023,TST* JOSEPHINE,TST* JOSEPHINE,203.71,debit,Restaurants,CREDIT CARD,,
142,6/23/2023,COMN CAP APY F1  DES:AUTO PAY   ID:PXXXXXXXXXX6685           INDN:SARAH REMMEY            CO ID:XXXXX80275 WEB,COMN CAP APY F1  DES:AUTO PAY   ID:PXXXXXXXXXX6685           INDN:SARAH REMMEY            CO ID:XXXXX80275 WEB,31.8,debit,Credit Card Payment,Adv Plus Banking - 6710,,
143,6/23/2023,Online Banking transfer to BRK 7892                         Confirmation# XXXXX75122,Online Banking transfer to BRK 7892                         Confirmation# XXXXX75122,800,debit,Transfer,Adv Plus Banking - 6710,,
144,6/23/2023,C43710 WEST BROA DES:DIR DEP    ID:3412A6A91205B1            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,C43710 WEST BROA DES:DIR DEP    ID:3412A6A91205B1            INDN:REMMEY SARAH            CO ID:XXXXX83648 PPD,3988.9,credit,Paycheck,Adv Plus Banking - 6710,,
145,6/23/2023,PURCHASE   0622 SPOTIFY                                     877-778-1161 NY XXXXX1531XXXXXXXXXX6387 RECURRING,PURCHASE   0622 SPOTIFY                                     877-778-1161 NY XXXXX1531XXXXXXXXXX6387 RECURRING,10.98,debit,Music,Adv Plus Banking - 6710,,
146,6/23/2023,Payment to Chase card ending in XXXX 06/23,Payment to Chase card ending in XXXX 06/23,560.89,debit,Credit Card Payment,PREMIER PLUS CKG,,
147,6/23/2023,Payment Thank You - Web,Payment Thank You - Web,560.89,credit,Credit Card Payment,CREDIT CARD,,
148,6/23/2023,Funds ReceivedFR BAC#229042906710 SARAH C SOSCIA,Funds ReceivedFR BAC#229042906710 SARAH C SOSCIA,800,credit,Investments,CMA-Edge XXZ-X7892,,
149,6/22/2023,PEPCO PAYMENTUS BILLPAY PPD ID: XXXXXX0160,PEPCO PAYMENTUS BILLPAY PPD ID: XXXXXX0160,67.26,debit,Utilities,PREMIER PLUS CKG,,
150,6/22/2023,Growth Index Fund Inst - Dividends on Equity Investments,Growth Index Fund Inst - Dividends on Equity Investments,47.39,credit,Dividend & Cap Gains,DELOITTE 401(K) PLAN,,
